Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Mastering Puppet for Large Infrastructures,"Puppet is a configuration management system that automates IT deployments, allowing administrators to keep machines consistent and up to date. Master Puppet and overcome issues faced in larger deployments, with these practical tutorials that shows real-world examples of Puppet in action. Packt Publishing instructor Thomas Uphill shows how to create a Puppet server machine from scratch and use PuppetDB to store facts (resource information), reports, and exported resources. He also shows how to generate reports, leverage public modules from Puppet Forge or GitHub for custom configurations, and check the syntax of code with two tools: puppet-lint or puppet parser validate. Plus, learn about Puppet best practices, such as adhering to the community style guide.<br><br>

This course was created by Packt Publishing. We are honored to host this training in our library.",Course,2020-02-13 19:30 UTC,N/A,false,N/A,
GIMP Essential Training (2017),"GIMP is a popular open-source image editor for Mac, Windows, and Linux that has evolved to become a credible option for image editing. In this course, Mike Rankin shows how to use GIMP 2.8 to work with images. After he tours the GIMP interface and familiarizes you with the program's preferences and tools, he takes you through working with selections, layers, layer masks, and paths. He also explains how to adjust canvas and print size, use brushes to edit masks, work with color, retouch photos, work with filters and text, print GIMP documents, and export images for web and print.",Course,2018-08-25 12:29 UTC,N/A,false,N/A,
Learning Adobe Fuse CC,"Design your own 3D characters with Adobe Fuse CC—no experience needed. Fuse's powerful features allow you to change the shape and weight of each facet of a character's anatomy, and customize its hair color and clothing to suit your design. See how the new app makes it easy to build, outfit, and customize realistic-looking 3D human models in minutes; save them to your Creative Cloud Libraries; and then pose and animate them right inside Photoshop CC. You can also take them into the online platform Mixamo for auto rigging and animation. With these new tools, you can create unique human characters for your own art, designs, prototypes, games, and more.",Course,2019-10-23 16:55 UTC,N/A,false,N/A,
Learning ArcGIS Python Scripting (2018),"Have you ever needed to find all the broken links in a set of map documents? Or convert units before loading map data? Python is the gateway for automating common GIS tasks like these. Python scripts can be used to manipulate maps, execute commands, and even read and write data from files. Learn how to produce faster, deeper insights into your GIS data by adding Python scripting to ArcGIS Desktop. This course starts with the basics, including strings, variables, and conditional statements. Jennifer Harrison—founder of TeachMeGIS—gets you comfortable writing scripts in IDLE, the integrated development environment for Python, and ramps up to writing output to the screen, passing command-line arguments into scripts, and reading from and writing to a log file. She also introduces the ArcGIS arcpy module for creating map documents and shows how to integrate customized scripting tools into ArcMap.",Course,2019-01-17 20:22 UTC,N/A,false,N/A,
Wireless Flash: Product Shots,"In the <em>Shooting with Wireless Flash</em> series, award-winning photographer Jim Sugar demonstrates his approach to using off-camera flash in a variety of lighting scenarios, sharing practical tips along the way.<br><br>



In this installment, Jim sets up and shoots a product shot. He demonstrates a variety of inexpensive lighting tools—clamps, gels, and other light modifiers—to light a product (in this course, a bicycle) in a way that accurately shows its color and other details. Next, he photographs the product using Adobe Lightroom's tethered shooting mode in order to be able to immediately assess his exposures on the computer screen. The course wraps up with a some tips that apply to product shots of all kinds. With its focus on lighting technique rather than specific strobe models and menu commands, these techniques are applicable to any brand of strobe and camera.",Course,2019-06-16 17:47 UTC,N/A,false,N/A,
Code Clinic: Go,"Successful programmers know more than a computer language. They also know how to think about solving problems. <em>Code Clinic</em> is a series of 11 courses where our authors solve the same problems using different programming languages. Here Todd McLeod works with Go, Google's open-source programming language.<br><br>

Todd introduces challenges and then provides overviews of his solutions in Go. Challenges include topics such as statistical analysis, searching directories for images, and accessing peripheral devices.<br><br>

Visit other courses in the series to see how to solve the same challenges in languages like C++, C#, JavaScript, PHP, Python, R, Ruby, and Swift.",Course,2019-06-13 15:06 UTC,N/A,false,N/A,
Statistics Foundations: 2,"Statistics are a core skill for many careers. Basic stats are critical for making decisions, new discoveries, investments, and even predictions. But sometimes you need to move beyond the basics. <em>Statistics Fundamentals – Part 2</em> takes business users and data science mavens into practical, example-based learning of the intermediate skills associated with statistics: samples and sampling, confidence intervals, and hypothesis testing.<br><br>

Eddie Davila first provides a bridge from <em>Part 1</em>, reviewing introductory concepts such as data and probability, and then moves into the topics of sampling, random samples, sample sizes, sampling error and trustworthiness, the central unit theorem, t-distribution, confidence intervals (including explaining unexpected outcomes), and hypothesis testing. This course is a must for those working in data science, business, and business analytics—or anyone else who wants to go beyond means and medians and gain a deeper understanding of how statistics work in the real world.",Course,2020-03-13 13:25 UTC,N/A,false,N/A,
"Creative Inspirations: Doyald Young, Logotype Designer","From humble beginnings in a small Texas town eight decades ago comes legendary typographer, logotype designer, author, and teacher Doyald Young. As elegant as his script fonts and as wise as his set of Oxford English dictionaries, Young set the standard for his craft. Friend and designer Stefan Bucher describes Young as ""someone who could easily have done what he does in the Renaissance, and could easily do it 300 years from now."" In this installment of Creative Inspirations, we enjoy a window into the life of this accomplished artisan as he works with joyous focus in his favorite spot, his drawing table. We follow Young to Art Center College of Design in Pasadena where he shares his talents with tomorrow's designers. He recalls the hundreds of iterations he went through in creating the logo for Prudential, and he puts pencil to tissue creating the pages for his book about script lettering, <em>Learning Curves.</em> Young's story is compelling, captivating, and most of all, inspiring. lynda.com is honored to host this tribute to his work.<br><br>Join us in Bonus Features at a tribute event held at Art Center College of Design in Pasadena, California, where Doyald's friends and colleagues speak about their relationship with the gifted designer and Lynda introduces a scholarship fund set up specifically in his memory.",Course,2019-09-23 13:32 UTC,N/A,false,N/A,
Shadow IT: Protecting Your Organization with Microsoft 365,"Shadow IT is the use of systems and services—such as Dropbox and AWS—that are managed without the knowledge of a company's IT department. As a majority of modern enterprises grapple with the risks posed by shadow IT, IT pros need to grasp how to mitigate these threats. In this installment of the <i>Microsoft Cybersecurity Stack</i> series, Pete Zerger provides end-to-end coverage of shadow IT, from the risks it poses to how to identify and eliminate threats with tools in the Microsoft cybersecurity stack. Discover how to leverage Cloud App Security (CAS), as well as how to anonymize user identity information. Plus, learn how to leverage the Microsoft Data Classification Service and CAS file policies to protect confidential information, how to control access to unmanaged devices, and more.",Course,2020-03-14 15:33 UTC,N/A,false,N/A,
Asking Great Sales Questions (2016),"All too often sales calls become an interrogation, leaving the prospects wondering where the conversation is leading. In this course, author and Fortune 500 sales coach Jeff Bloomfield provides an alternative, based on the principle that effective sales start with focusing on the issues that matter most to your customers. Jeff helps you gain insight into your customer's business problems, and use those insights to guide your sales questions. He teaches you how to create and ask effective, probing questions; validate the business impact of your solution; and dig deeper when necessary. He also provides advice on maintaining the right tone throughout the conversation—leading to a more successful sales interaction and a long-lasting relationship with the customer.",Course,2018-10-16 21:34 UTC,N/A,false,N/A,
PHP: Choosing a PHP Editor (2015),"A coding professional needs professional tools, and while you can write PHP with a regular text editor, a specialized editor or IDE will make the job easier and your code more accurate. In this course, programming expert Joseph Lowery takes you on a survey of the most popular all-purpose and PHP-specific editors. Learn what features are absolutely required from any good editor; explore options that can boost your productivity, like snippets and database integration; and then take a look at tools that work with multiple technologies (such as Aptana Studio, Sublime Text, and Cloud 9) and those more directly targeted at PHP (like Eclipse or PhpStorm). This course is vital to anyone starting on the path to PHP programming, as well as developers seeking to ramp up their efficiency.",Course,2018-12-15 22:58 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:114897,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:114897,Course,2018-08-16 19:23 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007903,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007903,Course,2020-02-14 13:39 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:114899,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:114899,Course,2018-08-27 14:07 UTC,N/A,false,N/A,
Code Clinic: PHP,"Many successful programmers know more than just a computer language. They also know how to <em>think</em> about solving problems. They use ""computational thinking"": breaking a problem down into segments that lend themselves to technical solutions. <em>Code Clinic</em> is a series of six courses where lynda.com authors solve the same problems using different programming languages. Here, David Powers works with PHP. <br><br>

David introduces challenges and provides an overview of his solutions in PHP. Challenges include topics such as statistical analysis, searching directories for images, and accessing peripheral devices.<br><br>

Visit other courses in the series to see how to solve the exact same challenges in languages like C#, C++, Java, Python, and Ruby.",Course,2019-01-18 16:27 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2021-09-08 18:06 UTC,N/A,false,N/A,
Helvetica,"<em>Helvetica</em> is about typography, graphic design, and global visual culture. It looks at a single typeface—one that, for better or worse, has dominated the graphic arts world since its creation in 1957—in a conversation about the way type affects our lives. lynda.com is proud to host this film in our library—along with an additional hour of online-exclusive bonus content.<br><br>

The documentary explores urban spaces in major cities and the type that inhabits them, and offers a fluid discussion with renowned designers about their work, the creative process, and the choices and aesthetics behind their use of type. Helvetica encompasses the worlds of design, advertising, psychology, and communication, and invites us to take a second look at the thousands of words we see every day. Interviewees in Helvetica include some of the most illustrious and innovative names in the design world, including Erik Spiekermann, Matthew Carter, Massimo Vignelli, Wim Crouwel, Hermann Zapf, Neville Brody, Stefan Sagmeister, Michael Bierut, David Carson, Paula Scher, Jonathan Hoefler, Tobias Frere-Jones, Experimental Jetset, Michael C. Place, Norm, Alfred Hoffmann, Mike Parker, Bruno Steinert, Otmar Hoefer, Leslie Savan, Rick Poynor, Lars Müller, and many more.<br><br>

Make sure to watch the bonus features included in the <em>Extras</em> chapter for more insights from these designers.",Course,2020-03-27 12:02 UTC,N/A,false,N/A,
Ethical Hacking: Enumeration (2019),"Ethical hacking is one of the most desired stills for any IT security professional. White hat hackers can detect, prevent, and mitigate network intrusions and data theft: a critical liability for any company that does business online or in the cloud. This course introduces to the concept of enumeration—identifying the resources on a host or network, including user names, ports and services, policies, and more. It covers protocol, process, and service enumeration on Windows and Linux, and maps to the Enumeration competency from the Certified Ethical Hacker (CEH)  body of knowledge. Malcolm discusses host profiling, enumerating protocols (such as SMB, RPC, and SNMP), and enumerating the Internet, and concludes with demos of third-party tools organizations can use to mitigate risk, including SuperScan, NetScan Pro, and JXplorer.<br><br>

An overview of the CEH exam, blueprint, and eligibility criteria can be found at <a href=""https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/"" target=""_blank"">https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/</a>.",Course,2020-02-11 12:01 UTC,N/A,false,N/A,
Learning Cisco CLI Switch Configuration,"Learn how to configure a Cisco switch to connect and control resources on your network. Join Denise Allen-Hoyt in this course, as she explores the Cisco command-line interface using an out-of-band connection with a cable and terminal program. Denise shows how to access the switch's three modes—user EXEC, privileged EXEC, and global configuration—and use commands to configure essential settings. After addressing the switch and configuring a default gateway, Denise explains how to modify individual port modes, secure those ports, and create and manage virtual LANs (VLANs). In the final chapter, she shows how to verify your settings and reset the switch if necessary.",Course,2018-09-13 15:09 UTC,N/A,false,N/A,
Learning Lego Mindstorms,"Love LEGOs? The next generation is ready to play. LEGO Mindstorms is a robotics kit designed for all experimenters—not just kids. Its advanced programming capabilities and robust hardware—sensors, motors, and intelligent EV3 brick—make LEGO Mindstorms a fun and challenging microcomputer system for programmers and tinkerers of any age. In this course, Olivia Chiu helps you ""open the box"" and build your first functional robot with LEGO Mindstorms.<br><br>

Learn how to unpack the hardware, connect to the programming interface, run prebuilt programs, and control the motors and sensors. Chapter 6, ""Adding Flow to a Program,"" covers advanced programming topics such as transferring data between blocks, using variables to store temporary data, programming conditional logic, and looping actions to run again and again. By the end of the course, you'll have the skills to bring your own robotic creations to life.",Course,2019-09-23 20:52 UTC,N/A,false,N/A,
Nano Tips for Understanding AI's Impact to Business with Marco Andre,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Marco Andre offers tips on understanding the impact of artificial intelligence in business, and how leaders can  become more productive and creative at work by thinking about AI first.",Course,2025-02-05 17:46 UTC,N/A,false,N/A,
JavaScript: Best Practices for Code Formatting,"JavaScript offers developers tremendous power, but also a wide variety of code style choices. Its evolution over decades and shifts in audience and approach have left communities fragmented and impeded code sharing. In this course, longtime coder and teacher Sasha Vodnik provides a core set of practices for creating code that can be read by more people than its creators. Learn about formatting details like commenting, punctuation, and spacing to maximize your code's ability to travel and thrive.",Course,2019-09-19 20:09 UTC,N/A,false,N/A,
Learning Adobe XD (2018),"Adobe Experience Design (XD) CC is an innovative new tool used for UI and UX design and prototyping. In this course, instructor Tom Green provides a brief overview of the features and functionality in this design and prototyping tool. Tom gives a tour of its capabilities and features, including the addition of layers and symbols, and shows new ways you can share your prototypes. Plus, he covers productivity-boosting features like the Repeat Grid tool, explains how to go from concept to interactive prototype, goes over the PC version of the application, and more.",Course,2018-08-25 19:11 UTC,N/A,false,N/A,
Advanced Linux: The Linux Kernel (2016),"What lies at the heart of the Linux operating system? The Linux kernel. Every Linux professional—including those in system administration, operations, and software development—needs to be familiar with the functionality of the Linux kernel as well as the mechanics of configuring and troubleshooting it. Master the fundamentals in this training course with Dr. Kevin Dankwardt.<br><br> 

We survey the Linux kernel specification, boot process, and loadable kernel modules. You will practice techniques such as downloading and searching Linux kernel source code and configuring a Linux kernel from scratch. Challenge and solution videos at the end of almost every chapter allow you to test your new Linux skills along the way.",Course,2020-03-03 16:06 UTC,N/A,false,N/A,
Software Architecture: Domain-Driven Design,"It's tough to be agile if you're working with a system that can't handle rapid change. Domain-driven design (DDD)—one of the most effective architectural approaches for both agile environments in general and microservices in particular—can help you build systems that can stand up to change. In this course, Allen Holub provides programmers, software architects, business analysts, and product managers/owners with an overview of this essential architectural process, demonstrating how to use DDD to develop a microservice or other domain-focused system. Alan goes over the basics of DDD (and how it fits with agile), microservices, and bounded contexts and entities. Plus, he compares reactive and declarative systems and details how to approach an event storming session.",Course,2020-01-24 22:38 UTC,N/A,false,N/A,
Building APIs in PHP Using the Slim Micro Framework,"A well-designed API includes not just URLs and response codes but also authentication, consistent structures, and useful JSON payloads. Luckily, the Slim micro framework makes it easy to move an API from concept to implementation to production. What used to take weeks or even months can usually be done in hours or days with Slim.<br><br>

This course begins with a simple application specification and builds it one step at a time. Each chapter includes a key concept, with examples from other public APIs, and then shows how to build it yourself with Slim. Learn about URL routing, validating input, and generating response codes and hypermedia payloads. Like any project, the first implementation may be a little messy but don't worry. The last chapter covers refactoring and what it takes to scale and support the API going forward.",Course,2019-07-18 17:12 UTC,N/A,false,N/A,
CSS: Gradients,"Join Justin Seeley as he introduces gradients, a somewhat hidden strength of CSS that allows you to add depth and texture to your web designs while reducing load times—creating a better viewing experience for your visitors versus static images. Discover how to create simple linear and radial gradients; apply them to backgrounds, buttons, and text; and write browser-specific syntax to ensure your designs look the same across multiple platforms. The course also shows how to create metallic textures, diagonal gradients, and repeatable patterns. Along the way, Justin demonstrates real-world uses for gradients and techniques to extend them beyond the basics.",Course,2018-08-27 16:00 UTC,N/A,false,N/A,
Audio Foundations: Compression and Dynamic Processing,"In this first installment of the <em>Foundations of Audio</em> series, author Brian Lee White shows how to improve the sound of a mix with compressors, limiters, gates, de-essers, and other dynamic processors. The course explains the fundamentals of sound waves, and amplitude, explores common compressor controls, and shows how to eliminate unwanted noise using gates and expanders. The course also demonstrates best practices in compression and limiting in a variety of audio applications and covers sculpting the attack and decay of individual notes with transient shapers and applying frequency specific dynamics control with multiband compressors. Exercise files accompany the course and include special Get in the Mix session files.",Course,2020-03-17 09:24 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:98830,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:98830,Course,2018-08-28 23:05 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4235168,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4235168,Course,2024-06-24 02:08 UTC,N/A,false,N/A,
Landscape Photography: Washington's Palouse Region,"Explore the beautifully stark Palouse region of Washington State, with landscape photographer Justin Reznick. After reviewing the roadmap for Palouse, Justin moves on to shooting techniques focused on isolating parts of the landscape and compressing distance. He takes these photographs into Photoshop, where he discusses his post-processing workflow.<br><br>

Then Justin revisits the landscape, shooting panoramas and composites he'll stitch together in post. Next, he reviews the gear he uses, and then treks to Palouse Falls to photograph a waterfall, and explains the special exposure considerations for sunrise shots. In the last chapter, Justin reviews the final images from the trip and shares tips for aspiring landscape photographers.",Course,2019-06-22 10:38 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007874,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007874,Course,2020-02-10 19:58 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:85083,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:85083,Course,2018-08-27 12:32 UTC,N/A,false,N/A,
Employee Experience,"Employee experience is a new concept in HR. It goes beyond traditional benefits, compensation, and performance. Now HR must actively work with all facets of the organization—incorporating the company's culture, tools, and environment—to create a great place to work. This course helps HR leaders and managers understand what employee experience is, why it's important, and how you can design a program that will set your company apart and help you win the war for talent. Learn how to keep employees engaged and support them throughout the employee life cycle—from first contact to offboarding. HR exec and talent consultant Pat Wadors also shows where to find the data you need to measure your progress and evolve your process. Experience matters; use these tips to build a more productive, positive workplace that helps you compete for—and keep—great talent.",Course,2019-02-09 20:18 UTC,N/A,false,N/A,
Ram Charan on Coaching High Potentials,"High-potential employees are the key driver of an organization's future success and performance-but who are these future leaders? Where do they come from and how are they developed? In this short course, LinkedIn Influencer Ram Charan, a top-level coach to global CEOs, outlines what companies must do to cultivate high potentials and what individuals can do to develop their high-potential selves: by pursuing skills, opportunities, and focus.",Course,2020-02-14 15:08 UTC,N/A,false,N/A,
Design the Web: Pie Charts with CSS,"Learn how to display your data in a pie chart, with nothing more than HTML and CSS. Chris Converse shows how to create complex shapes with CSS3 properties and nested HTML5 elements. The course exercise files are free to <em>all</em> members and contain handy cut-and-paste code snippets that allow you to follow along with the instructions easily. When you're done, you'll have an elegant pie chart that will work in all HTML5-enabled web browsers, including Chrome, Firefox, Safari, and Internet Explorer.",Course,2018-08-25 13:35 UTC,N/A,false,N/A,
Raspberry Pi Weekly,"Raspberry Pi lets you explore electronics, computer, programming, and the Internet of Things. You can build complex projects on a budget—from robots to media servers. This weekly series helps you create meaningful projects in a short time, and learn tips and key techniques that will help you across your creations. Each episode teaches you a coherent set of software and hardware approaches to connect computing power to the physical world. Join instructor Mark Niemann-Ross every week for a new Raspberry Pi technique.",Course,2019-11-25 19:06 UTC,N/A,false,N/A,
Threading in C#,"Threading is a powerful tool for developers, and having a solid grasp of how it works is key to creating high-performing applications. Threading—or multithreading—can help you create scalable applications that are more responsive to user input. In this course, learn from Microsoft MVP Chander Dhall how to write applications that perform multiple tasks at the same time. Chander covers basic threading concepts, including context switching and exception handling. He also discusses how to synchronize code, use a mutex and a semaphore, and more.",Course,2018-08-22 11:10 UTC,N/A,false,N/A,
Nano Tips for Using AI for Brand Storytelling with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips on how to use AI tools for inspiration, productivity, and identifying with your audience as a storyteller. Learn about the human-AI creative balance, ethical AI storytelling pitfalls to avoid, crafting better AI prompts, and more.",Course,2025-07-09 14:06 UTC,N/A,false,N/A,
Social Media Marketing for Small Business (2016),"Small businesses can't afford not to be active on social media. Having a Facebook, Instagram, or Twitter account keeps you tuned into your customer base and helps drive traffic to your website or brick-and-mortar store. Learn what it takes to be successful at social media marketing, without a lot of resources or dedicated marketing staff. Digital and social media strategist Martin Waxman explains the key terms and definitions—everything from SEO to hashtags—and tells you how to start finding your customers online. Learn how to make an action plan that outlines your goals, team, and budget, and find time to implement your ideas. He also talks about what content to publish where and the tools you need to measure the success of your efforts.",Course,2020-05-15 20:17 UTC,N/A,false,N/A,
UX Foundations: Style Guides and Design Systems,"A style guide is the document that sets the tone for how your organization communicates and how it designs its products. It incorporates branding, company philosophy, and an understanding of your customers and your market. It may describe the visual, written, and sometimes even spoken styles you use. Agencies, freelancers, designers, and developers will employ the guide to make sure they are on message and on brand—and avoid wasted time and effort. Join UX specialist Chris Nodder, as he leads you through building a style guide that describes your UX strategy in a unified way that everyone can understand. Learn how to build in consistency, creativity, and flexibility so your team can build amazing user experiences that reflect a coherent and recognizable company voice. Plus, discover how to create a design system of reusable interface components, complete with code snippets, to ensure your company's design language is consistent from product to product.",Course,2020-03-12 13:16 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-11-29 16:48 UTC,N/A,false,N/A,
